id,code,description,endTime,hour,iconCategory,latitude,longitude,magnitudeOfDelay,month,startTime,type
a301476e8016087dde51e079bd787fea,1101,Heavy snowfall,2023-12-24T21:41:35Z,20,5,59.3075815218,18.0109436433,1,12,2023-12-24T20:35:00Z,Feature
132d6840a8b7948d9f1be29c343646ac,1101,Heavy snowfall,2023-12-24T21:43:36Z,20,5,59.3734015561,18.0184699218,1,12,2023-12-24T20:19:30Z,Feature
bac985b910a89a2c35bf1e412cd9988c,1101,Heavy snowfall,2023-12-24T21:45:36Z,20,5,59.3470609255,18.0307772379,1,12,2023-12-24T20:11:30Z,Feature
6faf973f907fd3c86214d95211cfae95,1101,Heavy snowfall,2023-12-24T21:45:36Z,20,5,59.3990059469,17.9771370809,1,12,2023-12-24T20:11:30Z,Feature
84b9e84db08fd377a89364cbc4804663,115,Slow traffic,2023-12-24T21:45:36Z,20,6,59.3562595832,18.0603901665,1,12,2023-12-24T20:40:30Z,Feature
d0a0799411d3af1ece078fc149295b14,1101,Heavy snowfall,2023-12-24T21:47:36Z,20,5,59.2695424362,18.0954600494,1,12,2023-12-24T20:19:30Z,Feature
d3064e6ac5e8362b6022e42e250f2a7a,1101,Heavy snowfall,2023-12-24T21:49:36Z,20,5,59.3642686654,18.0539796869,1,12,2023-12-24T20:26:30Z,Feature
0c7019a9e9abb3d12c335864612d66ed,1101,Heavy snowfall,2023-12-24T21:51:36Z,20,5,59.3826417853,18.0415369193,1,12,2023-12-24T20:21:30Z,Feature
62501da3b3a55e01014a426c5e23404c,115,Slow traffic,2023-12-24T21:51:36Z,20,6,59.3123692343,18.1548307459,1,12,2023-12-24T20:27:30Z,Feature
8e359101f774a855d97101cafd059ed5,1101,Heavy snowfall,2023-12-24T21:51:36Z,20,5,59.3047544729,18.0181212346,1,12,2023-12-24T20:19:30Z,Feature
e210a3387e7fe85d0faeb19e4dc821e3,101,Stationary traffic,2023-12-24T21:55:37Z,20,6,59.3449513815,18.0272823195,3,12,2023-12-24T20:50:00Z,Feature
46ac44e995634a205f353957d0214812,1101,Heavy snowfall,2023-12-24T21:55:37Z,20,5,59.3826417853,18.0415369193,1,12,2023-12-24T20:48:30Z,Feature
b45dcd495c4c956f3aff1995fdde45c9,1101,Heavy snowfall,2023-12-24T21:55:37Z,20,5,59.3766778765,18.0456755678,1,12,2023-12-24T20:51:00Z,Feature
4e60605558892f943e5be9a54ba66538,101,Stationary traffic,2023-12-24T21:57:37Z,20,6,59.2960842041,18.0429933588,3,12,2023-12-24T20:54:30Z,Feature
33266ea54ad9c75b16a8503d6743cfed,1101,Heavy snowfall,2023-12-24T21:59:37Z,20,5,59.3474445037,18.0315711717,1,12,2023-12-24T20:41:00Z,Feature
766a268f45afbc5e79805f58f747aa50,1101,Heavy snowfall,2023-12-24T21:59:37Z,20,5,59.362687503,18.1155296783,1,12,2023-12-24T20:54:30Z,Feature
b2435e280704942dafdd74527bf5de95,122,Heavy traffic,2023-12-24T22:03:38Z,20,6,59.3586212821,18.0295259873,1,12,2023-12-24T20:57:00Z,Feature
5c3de231716c2cee7e00547e9d44be79,1101,Heavy snowfall,2023-12-24T22:05:38Z,20,5,59.3256998159,18.004344068,1,12,2023-12-24T20:19:30Z,Feature
5f3b83121fccf2311198153d4b60fa8c,1101,Heavy snowfall,2023-12-24T22:05:38Z,20,5,59.3826417853,18.0415369193,1,12,2023-12-24T20:48:30Z,Feature
a10e079b6af8638eac1e7847cac5e347,108,Queuing traffic,2023-12-24T22:05:38Z,20,6,59.3356333842,18.0875663082,2,12,2023-12-24T20:59:30Z,Feature
194c839067951e9ef3e77ff8ad240fa9,122,Heavy traffic,2023-12-24T22:05:38Z,20,6,59.3464587981,18.0298143248,1,12,2023-12-24T20:41:00Z,Feature
